comparison,metric,source_level_ci_width,view_level_ci_width,ratio,view_level_status
Ours_vs_Restormer,PSNR,0.18716949805172511,0.21618799276167255,1.1550385880819536,diagnostic_only
Ours_vs_Restormer,SSIM,0.002160566269386821,0.0021504026743059514,0.9952958651512438,diagnostic_only
Ours_vs_Restormer,LPIPS,0.0029997292581681123,0.002930435302076668,0.9768999299177549,diagnostic_only
Ours_vs_Restormer,Top1,0.03515625,0.03627232142857143,1.0317460317460319,diagnostic_only
Ours_vs_Restormer,Cosine,0.006661502979373577,0.006597780518495711,0.9904342216651146,diagnostic_only
Ours_vs_Restormer,Margin,0.006328256342463385,0.0066582334885814404,1.0521434544147443,diagnostic_only
Ours_vs_DehazeFormer,PSNR,0.20369271675096762,0.21898512175550394,1.075075855673488,diagnostic_only
Ours_vs_DehazeFormer,SSIM,0.0023295028592526332,0.0023937103211730047,1.0275627315353333,diagnostic_only
Ours_vs_DehazeFormer,LPIPS,0.0038225474953573458,0.003464593354757589,0.9063571764550975,diagnostic_only
Ours_vs_DehazeFormer,Top1,0.0390625,0.038518415178571415,0.9860714285714283,diagnostic_only
Ours_vs_DehazeFormer,Cosine,0.00788675671758158,0.007754523254795588,0.9832334801844199,diagnostic_only
Ours_vs_DehazeFormer,Margin,0.007209500648527215,0.007120659623621705,0.9876772290846997,diagnostic_only
Ours_vs_PromptIR,PSNR,0.24145471729515422,0.31649046436388106,1.3107652975651047,diagnostic_only
Ours_vs_PromptIR,SSIM,0.0026143808115323564,0.0026128039555000475,0.9993968529659668,diagnostic_only
Ours_vs_PromptIR,LPIPS,0.003573580614693128,0.0036865469270911198,1.0316115192514532,diagnostic_only
Ours_vs_PromptIR,Top1,0.039076450892856954,0.041294642857142856,1.0567654409139644,diagnostic_only
Ours_vs_PromptIR,Cosine,0.0070621661954646635,0.006594974883669887,0.9338458910674168,diagnostic_only
Ours_vs_PromptIR,Margin,0.006953085316594557,0.006661709050344403,0.9580939607407459,diagnostic_only
