comparison,degradation,metric,ours,baseline,delta_improvement,bootstrap_mean,ci_low,ci_high,significant,raw_p,fdr_q,significant_raw,significant_fdr,scope,sample_count
Ours_vs_Restormer,blur,PSNR,28.766305793860752,28.539247030047093,0.22705876381365897,0.2286959533583783,0.053245928125828755,0.40461063679135956,True,0.0102,0.0159375,True,True,source,10000
Ours_vs_Restormer,blur,SSIM,0.9542113754432648,0.9527276584412903,0.0014837170019745827,0.001492590961768292,7.970063597895209e-05,0.002721749764168635,True,0.0164,0.024848484848484852,True,True,source,10000
Ours_vs_Restormer,blur,LPIPS,0.17042126963133342,0.17075648400350474,0.0003352143721713219,0.0003398992191094294,-0.002781439746468095,0.0034123691372769803,False,0.829,0.8757042253521127,False,False,source,10000
Ours_vs_Restormer,blur,Top1,0.734375,0.72265625,0.01171875,0.011247265625,-0.0390625,0.0625,False,0.6822,0.7415217391304347,False,False,source,10000
Ours_vs_Restormer,blur,Cosine,0.9928329605609179,0.9943403063807636,-0.0015073458198457956,-0.0015182806650642306,-0.004184466419974341,0.0004081330844201146,False,0.1698,0.21584745762711866,False,False,source,10000
Ours_vs_Restormer,blur,Margin,0.0011179116554558277,0.0022649471648037434,-0.0011470355093479156,-0.0011467143204296007,-0.0028740404290147127,0.0003082696755882352,False,0.1422,0.18387931034482757,False,False,source,10000
Ours_vs_Restormer,haze,PSNR,24.430347102480358,23.941111435582553,0.4892356668978053,0.4883451825659481,0.19776617254975323,0.783983278610794,True,0.0008,0.0015584415584415587,True,True,source,10000
Ours_vs_Restormer,haze,SSIM,0.9070658358978108,0.9041360100964084,0.0029298258014023304,0.0029462077193195,-0.0021188454469665886,0.008407536573940886,False,0.2712,0.32544,False,False,source,10000
Ours_vs_Restormer,haze,LPIPS,0.060688256493449444,0.068911984364604,0.008223727871154551,0.008221890380278091,0.006178345076568803,0.010335227490122632,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,haze,Top1,0.40625,0.37890625,0.02734375,0.027344921875,-0.0234375,0.078125,False,0.3342,0.391640625,False,False,source,10000
Ours_vs_Restormer,haze,Cosine,0.9365800096275052,0.9229788886004826,0.0136011210270226,0.013560531711581279,0.0008607235253293765,0.028429322711235726,True,0.0348,0.05019230769230769,True,False,source,10000
Ours_vs_Restormer,haze,Margin,-0.052077385495067574,-0.06438071992306504,0.01230333442799747,0.012257536704282392,-0.0004735944108688272,0.02676022544292208,False,0.062,0.0853211009174312,False,False,source,10000
Ours_vs_Restormer,inpainting,PSNR,31.06132587370901,31.554778381192808,-0.49345250748379854,-0.4930514280307545,-0.5436718520786478,-0.44279409205521986,False,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,inpainting,SSIM,0.9737517468165606,0.9758236969355494,-0.0020719501189887524,-0.0020744978931033983,-0.002314799767918885,-0.001843386038672179,False,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,inpainting,LPIPS,0.09138968618572108,0.08171331967605511,-0.009676366509665968,-0.009683678438976858,-0.011348455472216301,-0.0079647965229924,False,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,inpainting,Top1,0.91796875,0.9296875,-0.01171875,-0.011631640625,-0.03125,0.00390625,False,0.2552,0.3087096774193548,False,False,source,10000
Ours_vs_Restormer,inpainting,Cosine,0.9978094978723675,0.9981448790058494,-0.00033538113348186016,-0.0003313211991917342,-0.0007548874942585825,-5.401030648500177e-07,False,0.0498,0.07047169811320754,True,False,source,10000
Ours_vs_Restormer,inpainting,Margin,0.005907365819439292,0.006753281690180302,-0.0008459158707410097,-0.0008329784559551627,-0.0021582733606919646,-3.480085288174458e-05,False,0.0272,0.04,True,True,source,10000
Ours_vs_Restormer,lowlight,PSNR,29.659422558888494,26.331076554153682,3.3283460047348115,3.3264622023579964,2.8234573921100754,3.8282178492678436,True,0.0,0.0,True,True,source,10000
Ours_vs_Restormer,lowlight,SSIM,0.9737291198689491,0.9654326371382922,0.008296482730656862,0.00828031519181095,0.0051444614713545885,0.011779690842377021,True,0.0,0.0,True,True,source,10000
