method,sampling,losses,psnr,ssim,lpips,top1,eer,auc
A0,sibling-group(2 deg/src),rec+grad,28.441171362224775,0.9428484253127992,0.15629223232489103,0.6462053571428571,0.08415835084033613,0.9710128228537509
B1,sibling-group(2 deg/src),rec+grad+deg,28.74857867785559,0.9464037578810738,0.1464462167680592,0.6735491071428571,0.08038996848739496,0.9744995214882828
B2,sibling-group(2 deg/src),rec+grad+anchor,27.913695892367066,0.9388842689804733,0.163687293723342,0.6434151785714286,0.08838082107843137,0.9700600625992585
A5,sibling-group(2 deg/src),rec+grad+deg+anchor,28.790507863360915,0.9457700604481423,0.1433372255277001,0.6981026785714286,0.07988773634453782,0.9749361548818746
