method,losses,sampling,max_steps,anchor_type,psnr,ssim,lpips,top1,eer
A1,rec+grad+sibling(out0.01),sibling-group,20000,none,27.95250147300107,0.9394981930714233,0.157793233605584,0.6456473214285714,0.08904171043417367
A2,rec+grad+deg,sibling-group,20000,none,28.547774148592108,0.943529418561541,0.14996466018003826,0.6713169642857143,0.083874956232493
A3,rec+grad+deg+anchor+sibling,sibling-group,20000,none,28.551211792649514,0.9429680762446618,0.14768154233232572,0.6808035714285714,0.08198310574229692
C1,rec+grad+adaptive_anchor,sibling-group,20000,adaptive,28.06915226231867,0.9412310014179509,0.15554726283724968,0.6328125,0.08895089285714286
C2,rec+grad+deg+adaptive_anchor,sibling-group,20000,adaptive,28.601948621980615,0.9443745616632181,0.15015791142546472,0.6702008928571429,0.08256959033613445
