model,step,active_ratio,mean_margin,mean_weight,mean_pos_sim,mean_neg_sim,raw_loss
C1,2676,0.25,0.30644094944000244,0.25,0.6070752143859863,0.3006342649459839,0.3929247558116913
C1,2677,0.125,0.542770266532898,0.125,0.8077421188354492,0.2649718225002289,0.19225791096687317
C1,2678,0.125,0.3301832377910614,0.125,0.7086887359619141,0.37850552797317505,0.29131120443344116
C1,2679,0.0,0.7710814476013184,0.0,0.8541615605354309,0.08308007568120956,0.1458384394645691
C1,2680,0.125,0.41077664494514465,0.125,0.8466501832008362,0.4358735978603363,0.15334978699684143
C1,2681,0.125,0.4836638867855072,0.125,0.6993290781974792,0.21566522121429443,0.30067092180252075
C1,2682,0.0,0.8145115375518799,0.0,0.9005448818206787,0.08603337407112122,0.09945514053106308
C1,2683,0.0,0.683536946773529,0.0,0.8483245372772217,0.16478756070137024,0.1516754925251007
C1,2684,0.0,0.4238583743572235,0.0,0.7128057479858398,0.2889474034309387,0.28719425201416016
C1,2685,0.0,0.5923390984535217,0.0,0.8596543073654175,0.26731523871421814,0.14034566283226013
C1,2686,0.0,0.6714128255844116,0.0,0.877211332321167,0.20579849183559418,0.1227886825799942
C1,2687,0.125,0.3094170093536377,0.125,0.7827601432800293,0.4733430743217468,0.21723991632461548
C1,2688,0.25,0.35272955894470215,0.25,0.6520341038703918,0.2993045747280121,0.34796586632728577
C1,2689,0.25,0.21335524320602417,0.16191402077674866,0.7789899706840515,0.5656347274780273,0.22101005911827087
C1,2690,0.0,0.4590730369091034,0.0,0.915302574634552,0.456229567527771,0.0846974328160286
C1,2691,0.125,0.4455106258392334,0.125,0.8417612314224243,0.3962506055831909,0.1582387387752533
C1,2692,0.0,0.8893312215805054,0.0,0.9045569896697998,0.015225756913423538,0.0954430028796196
C1,2693,0.25,0.3708763122558594,0.13740667700767517,0.793757975101471,0.42288169264793396,0.20624202489852905
C1,2694,0.0,0.5000400543212891,0.0,0.7752820253372192,0.2752419710159302,0.22471794486045837
C1,2695,0.0,0.6306853890419006,0.0,0.8899465799331665,0.2592611610889435,0.11005343496799469
C1,2696,0.25,0.37829872965812683,0.25,0.6240996718406677,0.24580097198486328,0.3759003281593323
C1,2697,0.25,0.43816888332366943,0.22916746139526367,0.695838451385498,0.2576695680618286,0.30416154861450195
C1,2698,0.0,0.6101281642913818,0.0,0.8581739664077759,0.24804581701755524,0.14182601869106293
C1,2699,0.125,0.5753467679023743,0.125,0.6945505142211914,0.11920377612113953,0.3054494261741638
C1,2700,0.25,0.41115379333496094,0.25,0.6520335674285889,0.24087971448898315,0.3479664921760559
C1,2701,0.125,0.4234112799167633,0.03196080029010773,0.8974596858024597,0.474048376083374,0.10254032164812088
C1,2702,0.25,0.39229509234428406,0.12819616496562958,0.7303805947303772,0.33808547258377075,0.2696193754673004
C1,2703,0.125,0.7370072603225708,0.10069841146469116,0.7510430812835693,0.014035867527127266,0.24895688891410828
C1,2704,0.125,0.5169228315353394,0.125,0.7763615846633911,0.25943878293037415,0.2236383855342865
C1,2705,0.0,0.619354784488678,0.0,0.7990447282791138,0.17968995869159698,0.20095527172088623
C1,2706,0.125,0.3182433545589447,0.125,0.7921215295791626,0.4738782048225403,0.2078784704208374
C1,2707,0.125,0.23500452935695648,0.018321657553315163,0.8256481885910034,0.5906436443328857,0.17435182631015778
C1,2708,0.5,0.14822763204574585,0.38913968205451965,0.6177246570587158,0.46949702501296997,0.3822753429412842
C1,2709,0.0,0.4426300525665283,0.0,0.8075978755950928,0.36496782302856445,0.19240210950374603
