panel,task,degradation,method_id,method_label,psnr,ssim,lpips,top1_pct,eer_pct,auc,seed,checkpoint_fingerprint_12,config_fingerprint,verifier_sha256,source
(c),Inpainting,inpainting,restormer,Restormer,31.554778381192808,0.9758236969355494,0.08171331967605507,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(c),Inpainting,inpainting,promptir,PromptIR,31.557778557485808,0.975919722346589,0.08135907411633521,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(c),Inpainting,inpainting,ffanet,FFANet,28.20755979512891,0.958979141432792,0.12930397629679644,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(c),Inpainting,inpainting,transweather,TransWeather,25.71724595127857,0.920665591256693,0.26738498995837284,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(c),Inpainting,inpainting,uformer,Uformer,29.993742159303174,0.9682963767554611,0.11349142550898246,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(c),Inpainting,inpainting,A5,SiblingRestore (Ours),31.06132587370901,0.9737517468165606,0.09138968618572103,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,airnet,AirNet,18.917707824211384,0.739754632813856,0.25089226273121307,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,dfpir,DFPIR,24.81149052159206,0.9543354720808566,0.1706858211837243,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,dehazeformer,DehazeFormer,28.443151663164564,0.9706267646979541,0.1223474957660073,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,restormer,Restormer,26.331076554153682,0.9654326371382922,0.13352491556724996,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,promptir,PromptIR,23.594390193118123,0.9476408399641514,0.14916484188142928,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,ffanet,FFANet,28.835128294896787,0.9699272287543863,0.1932688837550813,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,transweather,TransWeather,21.99758093014713,0.8811775322537869,0.2438129604561254,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,uformer,Uformer,22.880732040030722,0.894597559585236,0.26907955348724494,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(d),Low-light Enhancement,lowlight,A5,SiblingRestore (Ours),29.659422558888497,0.9737291198689491,0.13351342832902444,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,airnet,AirNet,27.590316748152404,0.9422892716247588,0.20849609767901708,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,dfpir,DFPIR,27.750175696145323,0.9433176317252219,0.18515774649858938,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,dehazeformer,DehazeFormer,28.027784708345397,0.9462040588259697,0.13181287463521582,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,restormer,Restormer,27.977708456632918,0.9454497566912323,0.1577566103369463,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,promptir,PromptIR,27.78799082092212,0.9438767966348678,0.16805071194539775,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,ffanet,FFANet,27.497220713484477,0.9413777191657573,0.2217979677370749,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,transweather,TransWeather,25.030330586515962,0.9083840085659176,0.28255721161258407,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,uformer,Uformer,27.18451406902359,0.9375309641472995,0.22603913751663637,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(e),Denoising,noise,A5,SiblingRestore (Ours),27.810380263288167,0.9439547334332019,0.1589729915722273,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,airnet,AirNet,28.973858527109595,0.955465598963201,0.15352212145080554,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,dfpir,DFPIR,32.01771804674774,0.9716809096280485,0.13088258679272252,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,dehazeformer,DehazeFormer,32.379049676096884,0.9748112086672336,0.09759127544384678,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,restormer,Restormer,33.168463071402094,0.9783694352954626,0.10706787767230704,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,promptir,PromptIR,32.83704239436133,0.9755388556513935,0.11993500918470086,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,ffanet,FFANet,30.04871635185816,0.960595291107893,0.17780323300394227,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,transweather,TransWeather,26.951926286872343,0.9426829214207828,0.2169617175532039,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,uformer,Uformer,27.906585291572906,0.9488563728518784,0.17199994081238398,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(f),Deraining,rain,A5,SiblingRestore (Ours),33.834997049545244,0.9810457413550466,0.0902616866460448,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,airnet,AirNet,21.44065121399937,0.7933181558619253,0.402041300010751,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,dfpir,DFPIR,23.949801907516107,0.8572658441553358,0.36290189141436713,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,dehazeformer,DehazeFormer,25.2841785128235,0.8848368881735951,0.3066366635684971,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,restormer,Restormer,25.2194797719177,0.8812184146372601,0.32756954278738704,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,promptir,PromptIR,24.561518202219666,0.8686671858886257,0.34828434229712,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,ffanet,FFANet,22.16850551034369,0.814806033304194,0.4273643287742743,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,transweather,TransWeather,20.699559573444876,0.7545047058956698,0.49321108042204287,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,uformer,Uformer,22.931815791060203,0.823274980604765,0.4049381705117412,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(g),Desnowing,snow,A5,SiblingRestore (Ours),25.970776401754378,0.8866318703221623,0.29811325983610004,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,results/... .test.csv (official v2) / unified_per_image.csv
(h),Average Restoration Quality,macro7,airnet,AirNet,24.785077701358258,0.8792937735478128,0.20643444694204452,,,,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,dfpir,DFPIR,27.276238865314813,0.9322792567753433,0.1717389055920648,,,,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,dehazeformer,DehazeFormer,28.37168088442346,0.9433459896328193,0.13756043596004017,,,,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,restormer,Restormer,28.10455210013269,0.943308229890785,0.14961439062972204,,,,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,promptir,PromptIR,27.525529067921436,0.938064118498005,0.15789028613549558,,,,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,ffanet,FFANet,26.61209595666261,0.920599325846914,0.2058061132442422,,,,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,transweather,TransWeather,23.790695205456093,0.8780781027661371,0.2744686950630109,,,,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,uformer,Uformer,25.614083961883814,0.9096943905647744,0.21528583114299438,,,,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(h),Average Restoration Quality,macro7,A5,SiblingRestore (Ours),28.790507863360915,0.9457700604481423,0.1433372255277001,,,,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,macro of 7 per-degradation means
(i),Source Preservation,identity,airnet,AirNet,,,,44.419642857142854,13.566176470588234,0.9394964785230498,13,386282930220,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,dfpir,DFPIR,,,,59.54241071428571,9.983696603641457,0.9625452024071347,13,dfa4d7c6cf4c,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,dehazeformer,DehazeFormer,,,,67.07589285714286,9.418658088235293,0.9691912580461872,13,9d775373ef7e,450bafc2e953,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,restormer,Restormer,,,,65.625,9.01752888655462,0.9701628234301534,13,cdc94e587131,3b6efe79cfcc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,promptir,PromptIR,,,,63.33705357142857,9.438681722689077,0.9674084306574192,13,fce760bb5b3f,d9df3100581c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,ffanet,FFANet,,,,53.01339285714286,10.818561799719888,0.9556736549600309,13,cdbe92d4fc95,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,transweather,TransWeather,,,,31.808035714285715,15.224527310924369,0.9254425061040041,13,f752218e787d,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,uformer,Uformer,,,,48.828125,13.828672093837536,0.9366054307465174,13,99b434a0782c,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
(i),Source Preservation,identity,A5,SiblingRestore (Ours),,,,69.81026785714286,7.988773634453781,0.9749361548818746,13,221250dc3332,5f2f096d42ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,official .test.json aggregate
