method,cohort,model_family,config_note,group,checkpoint_path,checkpoint_exists,checkpoint_bytes,checkpoint_sha256,config_fingerprint,verifier_fingerprint,result_json,per_image_csv,sources_scores_jsonl,anchor_means,restored_images_saved,aggregate_psnr,aggregate_ssim,aggregate_lpips,aggregate_restored_top1,aggregate_eer,aggregate_auc
ours_dim64_anchor,c005,siblingrestormer,12k independent,,runs/campaigns/c005_official_group1/ours_dim64_anchor/13/best.pt,True,54949392,e0f2184ae81aa1907ae938cb8218f95e413ce1ba8a271e483855bac342291c60,8e30144b66ab,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.114100835923207,0.9429189935243423,0.14404761495435586,0.6702008928571429,0.0849078693977591,0.9724052621536896
airnet,c005,airnet,12k independent,,runs/campaigns/c005_official_group1/airnet/13/best.pt,True,88001810,386282930220a4542d5541c15c70de9e6a458967a9ce792c9436e33c1cbe30f3,d80c75c84e35,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,24.785077701358254,0.8792937735478128,0.20643444694204455,0.44419642857142855,0.13566176470588234,0.9394964785230498
clearair,c005,clearair,12k independent,,runs/campaigns/c005_official_group1/clearair/13/best.pt,True,375790838,e6b40930cb856dc2ed10d99e22869fb87887bd0daed01a03c029b9f814aa06aa,6150a90e8c5c,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,21.06954854465008,0.8359848560981585,0.28755421227937666,0.2583705357142857,0.18961944152661064,0.8917385838612789
dfpir,c005,dfpir,12k independent,,runs/campaigns/c005_official_group1/dfpir/13/best.pt,True,314069334,dfa4d7c6cf4cbf550ceadfee7ca4dea5cb39a0c2c06f1a262542fdb1b7e9f97f,d6d6689955cc,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,27.276238865314813,0.9322792567753433,0.17173890559206484,0.5954241071428571,0.09983696603641457,0.9625452024071347
ffanet,c005,ffanet,12k independent,,runs/campaigns/c005_official_group1/ffanet/13/best.pt,True,12899852,cdbe92d4fc9506cddbe087b5634f8de92104a403d00785baad8e472f70e04fe3,63dfb70727ac,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,26.61209595666261,0.920599325846914,0.20580611324424222,0.5301339285714286,0.10818561799719888,0.9556736549600309
grl,c005,grl,12k independent,,runs/campaigns/c005_official_group3/grl/13/best.pt,True,67837666,4a5f17626df964ea204c9235a13d61ac3ed780e8182402bdfbd0f9e8f7e39236,47986eca8d0a,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,20.432684421057395,0.7615321134716007,0.3501805445770775,0.3091517857142857,0.1678002450980392,0.9090999436884128
prenet,c005,prenet,12k independent,,runs/campaigns/c005_official_group1/prenet/13/best.pt,True,5621196,ce83f215be021b5c8354c47a19e246c81bf0c6d7f52e98a77d5a3df86017fbdd,e3404f250dcf,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,24.38342098844339,0.8733188409449733,0.2359899210153214,0.37109375,0.1660484506302521,0.9131609272126819
r2r,c005,r2r,12k independent,,runs/campaigns/c005_official_group1/r2r/13/best.pt,True,123981462,7f293730d0e08971540ac2ee96d9005bf6efeaf406f464e461dad4b6122d3cde,832830207608,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,26.15362211063312,0.9175517466335025,0.23591689489226805,0.5518973214285714,0.11173735119047619,0.9553943659983525
swinir,c005,swinir,12k independent,,runs/campaigns/c005_official_group1/swinir/13/best.pt,True,240135686,e355ba1c50ee28be5dce9c31438f93b2bea52287a1525858ae8a1497d999055b,a498a51b0370,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,24.778972330324898,0.8850358005189004,0.23104043786796474,0.3911830357142857,0.15905659138655462,0.9194156019341331
transweather,c005,transweather,12k independent,,runs/campaigns/c005_official_group1/transweather/13/best.pt,True,454616910,f752218e787d6c09c744186ea897b468d4b6292c13d19c81fc3d800e662e9077,28eb9dd0d5d7,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,23.790695205456093,0.8780781027661371,0.2744686950630109,0.31808035714285715,0.15224527310924368,0.9254425061040041
uformer,c005,uformer,12k independent,,runs/campaigns/c005_official_group1/uformer/13/best.pt,True,248492494,99b434a0782cbb87b8189fe70bc5460e6a5230cc808c76105910f162ad29cf1d,a016377c01b4,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,25.614083961883818,0.9096943905647744,0.2152858311429944,0.48828125,0.13828672093837535,0.9366054307465174
M3_alcrb,psnr_modules_12k,siblingrestormer,"12k, formal, M3 ALCRB",,runs/psnr_modules_12k/M3_alcrb/13/best.pt,True,31378868,34ab20a22eac93b183efd4d5f6a73b5a4e83cfb39cc54187e786f1bf61102c9d,7fecea956994,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.047808268134208,0.937202477856772,0.1675746661255419,0.6316964285714286,0.09393820028011204,0.9667831488063976
m3_alcrb_safe_seed13,psnr_safe_refine,siblingrestormer,"12k, safe-refine (M3 init)",,weights/psnr_safe_refine/m3_alcrb_safe_seed13/best.pt,True,31447996,70fa82f52e39234ecb113873688cba55eaf95ba68a2501b90169941719d6cd58,e8de763ce911,d9b000aeb04d6e5dc64e6eff1fee7fc8c74e486935dd962fbcd1e26462451ae6,True,True,True,True,False,28.82280845818877,0.945362893091182,0.14420020823568588,0.6802455357142857,0.0837327118347339,0.972921806662118
