mean,lower95,upper95,num_sources,comparison,metric,bootstrap_unit,bootstrap_iterations
0.6859557632282225,0.5921617357003612,0.7804906942242718,256,A5_vs_Restormer,psnr,source_id,10000
0.002461830557357256,0.0013890323669849226,0.0035686211569035202,256,A5_vs_Restormer,ssim,source_id,10000
-0.006277165102021952,-0.0077926968052841935,-0.004796902832302814,256,A5_vs_Restormer,lpips,source_id,10000
0.04185267857142857,0.02399553571428571,0.059709821428571425,256,A5_vs_Restormer,restored_to_clean_top1,source_id,10000
0.004524002280959394,0.0012817988203356174,0.007772085694471441,256,A5_vs_Restormer,restored_margin,source_id,10000
0.004524002280959394,0.0013623851856599286,0.007784710728239068,256,A5_vs_Restormer,identity_gain_margin,source_id,10000
0.418826978937457,0.31728001709811277,0.5199590445329565,256,A5_vs_DehazeFormer,psnr,source_id,10000
0.0024240708153229233,0.0012580957305285065,0.0035780624935536545,256,A5_vs_DehazeFormer,ssim,source_id,10000
0.005776789567659891,0.0038490672455476927,0.0076891422112177156,256,A5_vs_DehazeFormer,lpips,source_id,10000
0.027343749999999997,0.007812499999999997,0.04687499999999999,256,A5_vs_DehazeFormer,restored_to_clean_top1,source_id,10000
0.004999719211160222,0.0013822598456109906,0.008550979099579439,256,A5_vs_DehazeFormer,restored_margin,source_id,10000
0.004999719211160221,0.0013777855762912494,0.008669782795030705,256,A5_vs_DehazeFormer,identity_gain_margin,source_id,10000
