metric,label,delta_mean,ci_lo,ci_hi,pct_sources_delta_gt0
psnr,PSNR (dB),0.04192918550532339,-0.00702398329429033,0.08996359779323436,0.55078125
ssim,SSIM,-0.0006336974329315087,-0.0013322945800609864,1.6831511103584147e-05,0.5234375
lpips,LPIPS,-0.0031089912403591104,-0.003947789463284475,-0.0022741300616936737,0.26171875
top1_correct,Restored Top-1,0.024553571428571425,0.0078124999999999965,0.04129464285714285,0.3046875
samecat_top1_correct,Same-cat Top-1,0.012834821428571426,-0.0027901785714285737,0.028459821428571425,0.2578125
correct_source_rank,Correct-source rank,0.008928571428571508,-0.4129464285714285,0.45200892857142855,0.390625
restored_margin,Restored margin,-0.0007869105892106236,-0.003427034409521315,0.0015596682643133255,0.52734375
