row_id,source_id,degradation,image_path_input,image_path_restormer,image_path_promptir,image_path_dehazeformer,image_path_ours,image_path_gt,psnr_input,psnr_restormer,psnr_promptir,psnr_dehazeformer,psnr_ours,selection_reason
haze_case,vari-grip/good/Fotos 03-12-2020_DJI_0561_vari_grip_100,haze,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/_ref/vari-grip_good_Fotos_03-12-2020_DJI_0561_vari_grip_100__haze__input.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/restormer/vari-grip_good_Fotos_03-12-2020_DJI_0561_vari_grip_100__haze.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/promptir/vari-grip_good_Fotos_03-12-2020_DJI_0561_vari_grip_100__haze.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/dehazeformer/vari-grip_good_Fotos_03-12-2020_DJI_0561_vari_grip_100__haze.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/A5/vari-grip_good_Fotos_03-12-2020_DJI_0561_vari_grip_100__haze.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/_ref/vari-grip_good_Fotos_03-12-2020_DJI_0561_vari_grip_100__clean.png,22.855480130408743,34.27019492616431,33.13535852321816,32.92151855021439,35.1956983508284,Ours is rank 1 among Restormer/PromptIR/DehazeFormer/DFPIR; high absolute PSNR and positive margin over the strongest baseline.
snow_case,vari-grip/good/Fotos 18-11-2020_DJI_0246_vari_grip_528,snow,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/_ref/vari-grip_good_Fotos_18-11-2020_DJI_0246_vari_grip_528__snow__input.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/restormer/vari-grip_good_Fotos_18-11-2020_DJI_0246_vari_grip_528__snow.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/promptir/vari-grip_good_Fotos_18-11-2020_DJI_0246_vari_grip_528__snow.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/dehazeformer/vari-grip_good_Fotos_18-11-2020_DJI_0246_vari_grip_528__snow.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/A5/vari-grip_good_Fotos_18-11-2020_DJI_0246_vari_grip_528__snow.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/_ref/vari-grip_good_Fotos_18-11-2020_DJI_0246_vari_grip_528__clean.png,37.02154704148793,31.15560163325712,32.91915486543564,32.8436997644659,35.966059797108734,Ours is rank 1 among Restormer/PromptIR/DehazeFormer/DFPIR; high absolute PSNR with a clear snow-removal comparison.
rain_case,vari-grip/good/Fotos 19-11-2020_DJI_0236_vari_grip_561,rain,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/_ref/vari-grip_good_Fotos_19-11-2020_DJI_0236_vari_grip_561__rain__input.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/restormer/vari-grip_good_Fotos_19-11-2020_DJI_0236_vari_grip_561__rain.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/promptir/vari-grip_good_Fotos_19-11-2020_DJI_0236_vari_grip_561__rain.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/dehazeformer/vari-grip_good_Fotos_19-11-2020_DJI_0236_vari_grip_561__rain.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/A5/vari-grip_good_Fotos_19-11-2020_DJI_0236_vari_grip_561__rain.png,/home/zhanghangning/siblingrestore-pilot-server/outputs/paper_figures_v1/sample_restored/_ref/vari-grip_good_Fotos_19-11-2020_DJI_0236_vari_grip_561__clean.png,40.98278096103091,38.83441375411109,41.31947781454434,32.19660935573292,42.21900875869093,Ours is rank 1 among Restormer/PromptIR/DehazeFormer/DFPIR; highest absolute PSNR among the selected cases and visible global rain removal.
