Degradation,Degraded,Restormer,DehazeFormer,PromptIR,Ours,Ours ΔCosine
Blur,0.9913953507784754,0.9943403063807636,0.9904142526211217,0.9926965828053653,0.9928329605609179,0.0014376097824424505
Haze,0.7957916457053216,0.9229788886004826,0.9121924258706713,0.9364215137029532,0.9365800096275052,0.14078836392218363
Inpainting,0.9023649689625017,0.9981448790058494,0.9992315506096929,0.9978916267864406,0.9978094978723675,0.09544452890986577
Low-light,0.921722698258236,0.9693392685148865,0.9791403317358345,0.9589773878105916,0.9859480918385088,0.0642253935802728
Noise,0.9689115355722606,0.9970267449971288,0.9980085878632963,0.99487095605582,0.9974384419620037,0.02852690638974309
Rain,0.9903962819371372,0.9952011615969241,0.9884149273857474,0.9944374733604491,0.99731859494932,0.0069223130121827126
Snow,0.6164573546211614,0.9321486950939288,0.9337299333419651,0.9193210258381441,0.9379540356676443,0.321496681046483
Average,0.8838628336907277,0.9727399920271377,0.9715902870611899,0.9706595094799663,0.9779830903540382,0.09412025666331049
