Degradation,Degraded Margin,Restormer Margin,DehazeFormer Margin,PromptIR Margin,Ours Margin
Blur,0.0006752212066203356,0.0022649471648037434,-0.0012649308191612363,0.001291122054681182,0.0011179116554558277
Haze,-0.17232674203478382,-0.06438071992306504,-0.07315031421057938,-0.04821008289582096,-0.052077385495067574
Inpainting,-0.08080344420159236,0.006753281690180302,0.007667409023270011,0.006391521543264389,0.005907365819439292
Low-light,-0.05907395307440311,-0.0180829968303442,-0.008928845403715968,-0.027299503970425576,-0.003520361613482237
Noise,-0.017233568476513028,0.005861592013388872,0.006323237670585513,0.0037447672802954912,0.006215870846062899
Rain,8.363556116819382e-05,0.003595479531213641,-0.0018910570070147514,0.003011072287335992,0.005370208062231541
Snow,-0.3502053342581348,-0.0546720629936317,-0.05074599711224437,-0.06524272018577904,-0.050006072655378375
Average,-0.09698345503966266,-0.01695149704963634,-0.017427213979837167,-0.01804483198377836,-0.012427494768676946
