method,PSNR,SSIM,LPIPS,Top1
A0,28.441171362224775,0.9428484253127992,0.156292232324891,0.6462053571428571
A1,27.95250147300107,0.9394981930714233,0.15779323360558398,0.6456473214285714
A2,28.547774148592108,0.943529418561541,0.14996466018003823,0.6713169642857143
A3,28.551211792649518,0.9429680762446618,0.1476815423323257,0.6808035714285714
A5,28.790507863360915,0.9457700604481423,0.14333722552770006,0.6981026785714286
