method,cosine,top1,roc_auc,eer,num_views
Degraded,0.9436871596512252,0.9296875,0.9915532045337666,0.03718487394957983,1792
Restormer,0.9662595014254164,0.9620535714285714,0.9962486300672613,0.02299544817927171,1792
DehazeFormer,0.971588862045402,0.9737723214285714,0.9975971260086066,0.017323179271708684,1792
A5,0.9705078064164679,0.9654017857142857,0.9972462788826468,0.017069327731092435,1792
